США,31249.55,340.53,35.23,32.00
Бразилия,17745.82,331.51,51.93,24.00
Россия,15770.76,274.11,60.90,8.56
Франция,59959.83,258.28,60.46,118.00
Германия,46217.72,210.40,62.64,230.00
Мадагаскар,68330.00,246.76,5.15,36.00
Иран,9068.37,174.28,34.02,47.00
ОАЭ,10788.54,23.75,51.96,60.00
ЮАР,6866.67,172.99,7.44,40.00
Австралия,45493.52,92.55,56.49,3.40
Индонезия,2490.98,59.20,25.17,127.00
Япония,26727.17,59.06,68.46,336.00
Индия,3260.75,38.55,16.58,357.00
Китай,6749.98,8.27,56.69,139.00
